ActivityStartDate,CharacteristicName,ResultMeasureValue
10/26/2017,temp,15.2
10/26/2017,pH,8.2
10/26/2017,pH,8.1
10/26/2017,Nitrite,0.006
10/26/2017,Nitrate,1.14
10/26/2017,Nitrate,5.03
10/26/2017,Nitrite,0.02
10/26/2017,pH,8
10/26/2017,pH,8.22
10/26/2017,Nitrate,1.2
10/26/2017,DO,10.44
10/26/2017,Nitrate,1.24
10/26/2017,temp,15.18
10/26/2017,pH,8
11/15/2017,temp,13.16
11/15/2017,pH,8.2
11/15/2017,Nitrate,1.23
11/15/2017,Nitrite,0.012
11/15/2017,DO,11.25
11/15/2017,pH,8
11/15/2017,Nitrate,1.21
12/4/2017,temp,4.3
12/4/2017,pH,8
12/4/2017,pH,7.9
12/4/2017,Nitrite,0.009
12/4/2017,Nitrate,1.24
12/4/2017,Nitrite,0.03
12/4/2017,Nitrate,5.5
12/4/2017,temp,4.6
12/4/2017,pH,7.7
12/4/2017,pH,7.97
12/4/2017,pH,7.8
12/4/2017,temp,4.32
12/4/2017,DO,13.42
12/4/2017,Nitrate,1.24
1/31/2018,temp,1.2
1/31/2018,pH,7.6
1/31/2018,pH,7.8
1/31/2018,Nitrite,0.005
1/31/2018,DO,13.6
1/31/2018,Nitrate,0.916
1/31/2018,Nitrate,4.06
1/31/2018,Nitrite,0.017
2/15/2018,pH,7.5
2/15/2018,temp,3.2
2/15/2018,pH,7.2
2/15/2018,Nitrite,0.004
2/15/2018,Nitrate,1.01
2/15/2018,Nitrate,4.49
2/15/2018,Nitrite,0.014
2/15/2018,DO,14.26
2/15/2018,pH,7.55
2/15/2018,pH,7.7
2/15/2018,Nitrate,1
2/15/2018,temp,3.19
2/26/2018,temp,5.1
2/26/2018,pH,7.5
2/26/2018,temp,5.2
2/26/2018,pH,7.5
2/26/2018,pH,7.4
2/26/2018,Nitrite,0.004
2/26/2018,Nitrate,0.789
2/26/2018,Nitrate,3.49
2/26/2018,Nitrite,0.013
3/16/2018,temp,4.3
3/16/2018,pH,7.7
3/16/2018,pH,7.6
3/16/2018,Nitrite,0.004
3/16/2018,Nitrate,0.918
3/16/2018,Nitrate,4.06
3/16/2018,Nitrite,0.013
3/26/2018,temp,6.4
3/26/2018,pH,8.4
3/26/2018,DO,13.65
3/26/2018,pH,8
3/26/2018,Nitrite,0.006
3/26/2018,Nitrate,0.918
3/26/2018,Nitrate,4.06
3/26/2018,Nitrite,0.02
4/17/2018,temp,8.3
4/17/2018,pH,7.4
4/17/2018,pH,7.8
4/17/2018,Nitrite,0.009
4/17/2018,Nitrate,0.81
4/17/2018,Nitrate,3.59
4/17/2018,Nitrite,0.029
4/17/2018,Nitrate,0.88
4/17/2018,pH,7.43
4/17/2018,DO,11.9
4/17/2018,pH,7.9
4/17/2018,temp,8.32
4/30/2018,temp,12.1
4/30/2018,pH,7.5
4/30/2018,pH,7.5
4/30/2018,Nitrite,0.005
4/30/2018,Nitrate,0.655
4/30/2018,Nitrate,2.9
4/30/2018,Nitrite,0.017
5/21/2018,Nitrate,0.62
5/21/2018,pH,7.44
5/21/2018,temp,15.87
5/21/2018,DO,9.95
5/21/2018,pH,7.6
5/23/2018,temp,16.1
5/23/2018,pH,7.1
5/23/2018,pH,7.7
5/23/2018,Nitrite,0.004
5/23/2018,Nitrate,0.693
5/23/2018,Nitrate,3.07
5/23/2018,Nitrite,0.013
5/31/2018,temp,19.5
5/31/2018,pH,7.8
5/31/2018,temp,19.3
5/31/2018,pH,7.4
5/31/2018,pH,7.8
5/31/2018,Nitrite,0.007
5/31/2018,Nitrate,0.908
5/31/2018,Nitrate,4.02
5/31/2018,Nitrite,0.024
6/19/2018,temp,26.2
6/19/2018,pH,9.1
6/19/2018,pH,9
6/19/2018,Nitrite,0.007
6/19/2018,Nitrate,0.648
6/19/2018,Nitrate,2.87
6/19/2018,Nitrite,0.021
6/19/2018,pH,9
6/19/2018,pH,9.12
6/19/2018,Nitrate,0.63
6/19/2018,temp,26.18
6/19/2018,DO,10.31
7/31/2018,temp,22.4
7/31/2018,pH,7.1
7/31/2018,pH,7.7
7/31/2018,Nitrite,0.005
7/31/2018,DO,8.16
7/31/2018,Nitrate,0.619
7/31/2018,Nitrate,2.74
7/31/2018,Nitrite,0.018
8/28/2018,temp,22.6
8/28/2018,pH,7.7
8/28/2018,pH,7.9
8/28/2018,Nitrite,0.008
8/28/2018,Nitrate,0.87
8/28/2018,Nitrate,3.85
8/28/2018,Nitrite,0.026
8/28/2018,temp,22.6
8/28/2018,pH,7.7
8/28/2018,pH,8
8/28/2018,temp,22.59
8/28/2018,pH,7.73
8/28/2018,DO,8.66
8/28/2018,Nitrate,0.95
9/15/2018,pH,8
9/15/2018,Nitrate,1.67
9/15/2018,Nitrite,0.048
9/15/2018,temp,22.24
9/15/2018,DO,9.09
10/15/2018,temp,13.6
10/15/2018,pH,7
10/15/2018,pH,7.9
10/15/2018,Nitrite,0.001
10/15/2018,DO,10.02
10/15/2018,Nitrate,0.667
10/15/2018,Nitrate,2.95
10/15/2018,Nitrite,0.004
11/20/2018,Nitrate,0.88
11/20/2018,temp,6.18
11/20/2018,pH,7.55
11/20/2018,DO,12.26
11/20/2018,pH,7.8
12/18/2018,temp,4
12/18/2018,pH,7.6
12/18/2018,pH,8
12/18/2019,DO,12.98
12/18/2018,Nitrite,0.003
12/18/2018,Nitrate,0.814
12/18/2018,Nitrate,3.6
12/18/2018,Nitrite,0.01
12/18/2018,temp,4
12/18/2018,pH,7.6
1/5/2018,temp,1.2
1/5/2018,Nitrate,1.2
1/5/2018,Nitrite,0.012
1/5/2018,DO,13.78
1/5/2018,pH,7.6
2/4/2019,temp,0.8
2/4/2019,pH,6.8
2/4/2019,pH,7.9
2/4/2019,Nitrite,0.005
2/4/2019,Nitrate,1.15
2/4/2019,Nitrite,0.015
2/4/2019,Nitrate,5.11
2/4/2019,pH,7.8
2/4/2019,pH,6.8
2/4/2019,temp,0.79
2/4/2019,DO,14.13
2/4/2019,Nitrate,1.2
2/28/2019,temp,3.1
2/28/2019,pH,8.2
2/28/2019,pH,8
2/28/2019,Nitrite,0.005
2/28/2019,Nitrate,0.973
2/28/2019,Nitrate,4.31
2/28/2019,Nitrite,0.017
3/19/2019,temp,5.5
3/19/2019,pH,8
3/19/2019,pH,8
3/19/2019,Nitrite,0.006
3/19/2019,Nitrate,0.809
3/19/2019,Nitrite,0.019
3/19/2019,Nitrate,3.58
3/19/2019,temp,5.5
3/19/2019,pH,7.8
3/19/2019,Nitrate,0.82
3/19/2019,pH,7.9
3/19/2019,pH,8.03
3/19/2019,temp,5.54
3/19/2019,DO,13.75
3/27/2019,temp,5.7
3/27/2019,pH,7.7
3/27/2019,pH,8
3/27/2019,Nitrite,0.006
3/27/2019,Nitrate,0.82
3/27/2019,Nitrate,3.63
3/27/2019,Nitrite,0.019
4/11/2019,temp,11.5
4/11/2019,pH,8.5
4/11/2019,pH,8
4/11/2019,Nitrite,0.01
4/11/2019,Nitrate,0.675
4/11/2019,Nitrite,0.032
4/11/2019,Nitrate,2.99
4/17/2019,DO,10.87
4/17/2019,temp,10.94
4/17/2019,Nitrate,0.59
4/17/2019,pH,7.4
4/17/2019,pH,7.2
4/17/2019,Nitrate,0.58
4/17/2019,pH,7.2
4/24/2019,temp,13.7
4/24/2019,pH,7.5
4/24/2019,pH,7.9
4/24/2019,Nitrite,0.008
4/24/2019,Nitrate,0.644
4/24/2019,Nitrate,2.85
4/24/2019,Nitrite,0.025
5/6/2019,temp,14.45
5/6/2019,DO,9.83
5/6/2019,pH,7.58
5/9/2019,temp,15.2
5/9/2019,pH,7.5
5/9/2019,pH,8
5/9/2019,Nitrite,0.004
5/9/2019,Nitrate,0.842
5/9/2019,Nitrate,3.73
5/9/2019,Nitrite,0.012
5/23/2019,pH,7.67
5/23/2019,Nitrate,0.87
5/23/2019,DO,9.52
5/23/2019,pH,7.6
5/23/2019,temp,17.29
5/30/2019,temp,19.5
5/30/2019,pH,7.7
5/30/2019,temp,19.4
5/30/2019,pH,7.7
5/30/2019,pH,7.9
5/30/2019,Nitrite,0.009
5/30/2019,Nitrate,0.959
5/30/2019,Nitrate,4.25
5/30/2019,Nitrite,0.028
6/20/2019,temp,19.4
6/20/2019,pH,7.4
6/20/2019,pH,7.9
6/20/2019,Nitrite,0.006
6/20/2019,DO,9.5
6/20/2019,Nitrate,0.741
6/20/2019,Nitrate,3.28
6/20/2019,Nitrite,0.021
7/9/2019,temp,24.3
7/9/2019,pH,7.6
7/9/2019,pH,8.1
7/9/2019,Nitrite,0.008
7/9/2019,Nitrate,1.02
7/9/2019,Nitrate,4.52
7/9/2019,Nitrite,0.026
7/9/2019,DO,8.14
7/9/2019,temp,24.26
7/9/2019,pH,7.6
7/9/2019,pH,7.61
7/9/2019,Nitrate,1.08
8/5/2019,temp,27.1
8/5/2019,pH,8.3
8/5/2019,temp,27.1
8/5/2019,pH,8.3
8/5/2019,pH,8.3
8/5/2019,DO,8.65
8/5/2019,Nitrite,0.01
8/5/2019,Nitrate,1.3
8/5/2019,Nitrate,5.75
8/5/2019,Nitrite,0.032
9/16/2019,temp,22.3
9/16/2019,pH,8.1
9/16/2019,pH,8.2
9/16/2019,Nitrite,0.014
9/16/2019,Nitrate,1.3
9/16/2019,Nitrate,5.76
9/16/2019,Nitrite,0.047
9/16/2019,temp,22.28
9/16/2019,Nitrate,1.33
9/16/2019,pH,8.1
9/16/2019,pH,8.13
9/16/2019,DO,9.05
10/21/2019,temp,11.7
10/21/2019,pH,7.1
10/21/2019,pH,7.9
10/21/2019,Nitrite,0.005
10/21/2019,Nitrate,0.788
10/21/2019,Nitrite,0.016
10/21/2019,Nitrate,3.49
10/28/2019,temp,13.09
10/28/2019,DO,9.95
10/28/2019,pH,7.8
10/28/2019,pH,7.8
10/28/2019,Nitrate,1.01
11/15/2019,pH,7.8
11/15/2019,temp,10.67
11/15/2019,Nitrate,0.89
11/15/2019,Nitrite,0.009
11/15/2019,DO,11.6
12/10/2019,Nitrate,0.96
12/10/2019,DO,12.47
12/10/2019,temp,4.73
12/10/2019,pH,7.81
12/10/2019,pH,7.3
12/11/2019,temp,4.7
12/11/2019,pH,6.9
12/11/2019,temp,4.7
12/11/2019,pH,6.9
12/11/2019,pH,7.9
12/11/2019,Nitrite,0.009
12/11/2019,Nitrate,1.13
12/11/2019,Nitrate,5.01
12/11/2019,Nitrite,0.029
1/23/2020,temp,0.2
1/23/2020,pH,7.8
1/23/2020,DO,13.69
1/23/2020,pH,7.9
1/23/2020,Nitrite,0.009
1/23/2020,Nitrate,0.948
1/23/2020,Nitrate,4.2
1/23/2020,Nitrite,0.031
2/6/2020,pH,7.4
2/6/2020,temp,4.73
2/6/2020,Nitrate,0.96
2/6/2020,pH,7.83
2/6/2020,DO,12.66
2/6/2020,pH,6.3
2/19/2020,temp,4.1
2/19/2020,pH,6.9
2/19/2020,pH,7.8
2/19/2020,Nitrite,0.007
2/19/2020,Nitrate,0.961
2/19/2020,Nitrate,4.25
2/19/2020,Nitrite,0.023
2/26/2020,temp,5.2
2/26/2020,pH,7.5
2/26/2020,temp,5.2
2/26/2020,pH,7.5
2/26/2020,pH,8.1
2/26/2020,Nitrite,0.009
2/26/2020,Nitrate,0.978
2/26/2020,Nitrate,4.33
2/26/2020,Nitrite,0.029
3/11/2020,temp,7.9
3/11/2020,pH,7.6
3/11/2020,pH,8
3/11/2020,DO,13.6
3/11/2020,Nitrite,0.01
3/11/2020,Nitrate,0.77
3/11/2020,Nitrate,3.41
3/11/2020,Nitrite,0.032
4/6/2020,temp,11.5
4/6/2020,pH,7.5
4/6/2020,pH,7.8
4/6/2020,DO,10.3
4/6/2020,Nitrite,0.011
4/6/2020,Nitrate,0.819
4/6/2020,Nitrate,3.62
4/6/2020,Nitrite,0.037
5/7/2020,temp,11.8
5/7/2020,pH,7.5
5/7/2020,pH,7.7
5/7/2020,Nitrite,0.003
5/7/2020,Nitrate,0.605
5/7/2020,Nitrate,2.68
5/7/2020,Nitrite,0.011
5/7/2020,temp,11.8
5/7/2020,pH,7.5
5/27/2020,temp,21.1
5/27/2020,DO,9.86
5/27/2020,pH,8.3
5/27/2020,pH,8.1
5/27/2020,Nitrite,0.005
5/27/2020,Nitrate,0.556
5/27/2020,Nitrate,2.46
5/27/2020,Nitrite,0.016
6/12/2020,temp,24.6
6/12/2020,pH,7.7
6/12/2020,pH,8
6/12/2020,Nitrite,0.01
6/12/2020,Nitrate,0.89
6/12/2020,Nitrate,3.94
6/12/2020,Nitrite,0.034
6/24/2020,temp,26.1
6/24/2020,pH,7.7
6/24/2020,DO,9.3
6/24/2020,pH,8.1
6/24/2020,Nitrite,0.007
6/24/2020,Nitrate,0.877
6/24/2020,Nitrate,3.88
6/24/2020,Nitrite,0.024
7/15/2020,temp,25.4
7/15/2020,DO,7.9
7/15/2020,pH,7.5
7/15/2020,Nitrate,0.7
7/15/2020,pH,7.49
7/21/2020,temp,28.8
7/21/2020,pH,8
7/21/2020,pH,8.1
7/21/2020,Nitrite,0.007
7/21/2020,Nitrate,0.941
7/21/2020,Nitrate,4.16
7/21/2020,Nitrite,0.024
8/19/2020,temp,24.4
8/19/2020,pH,7.9
8/19/2020,pH,8.1
8/19/2020,Nitrite,0.006
8/19/2020,Nitrate,0.951
8/19/2020,Nitrate,4.21
8/19/2020,Nitrite,0.019
8/19/2020,temp,24.4
8/19/2020,pH,7.9
8/26/2020,pH,8.59
8/26/2020,pH,8.3
8/26/2020,Nitrate,0.72
8/26/2020,temp,25.97
8/26/2020,DO,8.45
9/23/2020,temp,16.8
9/23/2020,pH,8.1
9/23/2020,pH,8.3
9/23/2020,Nitrite,0.009
9/23/2020,Nitrate,1.3
9/23/2020,Nitrate,5.75
9/23/2020,Nitrite,0.031
9/29/2020,pH,8.05
9/29/2020,DO,8.92
9/29/2020,temp,20.7
9/29/2020,Nitrate,1.21
9/29/2020,pH,8
